tags,elapsed_s,start_unix,end_unix
"['initialize-parser', '49cfb476-36e3-4a8d-b947-df21c06362d4']",62.54,1713028715.95,1713028778.48
"['initialize-parser', '8c73e603-8bba-478f-a456-0110fe05633e']",62.52,1713028715.96,1713028778.48
"['initialize-parser', '347fd42e-4b7b-4325-a8be-588aca5b5e94']",62.50,1713028715.99,1713028778.48
"['initialize-parser', '840500f0-12bb-49f2-b2d9-6a3ed58ee5a0']",62.52,1713028715.96,1713028778.48
"['initialize-parser', 'e6f1a8a9-256e-4c03-b40a-1c47334c526f']",62.57,1713028715.91,1713028778.48
"['initialize-parser', 'c05e9363-1021-46c6-89df-f45b9566d0e1']",62.18,1713028716.31,1713028778.49
"['initialize-parser', 'c1f1b30c-bbbd-4cab-94f1-eed257c2e4e9']",62.55,1713028715.94,1713028778.50
"['initialize-parser', '967f05a5-5d74-4415-a65a-29ce4cb1d92e']",62.38,1713028716.11,1713028778.50
"['initialize-parser', 'eb851062-91b5-4457-96c2-96d141f56ba1']",61.89,1713028716.62,1713028778.51
"['initialize-parser', 'c22744a7-c9bc-4b0c-a041-914a79fe37fa']",62.45,1713028716.09,1713028778.54
"['initialize-parser', 'b5d03c1c-9022-49f0-b689-c6513bf394ed']",62.59,1713028715.95,1713028778.54
"['initialize-parser', '577ad9c0-fdaa-478d-8e5c-cbb7aec24a4c']",62.57,1713028715.97,1713028778.54
"['initialize-parser', 'aa253bbc-3898-4ff2-ab5e-45d90137e16b']",64.52,1713028718.01,1713028782.53
"['initialize-parser', '8f2290c2-6632-4bdc-955e-2fb7aa82a3ff']",64.53,1713028718.00,1713028782.53
"['initialize-parser', '7bb1f865-d94e-41f8-81d5-bd3520f3282d']",64.55,1713028717.98,1713028782.53
"['initialize-parser', 'dcfe9d48-2fd7-4be1-b232-6622983bcf97']",64.16,1713028718.37,1713028782.53
"['initialize-parser', 'be4e92c2-1e36-4eec-baf7-ee2dd04bf0f3']",64.50,1713028718.03,1713028782.53
"['initialize-parser', '0e403429-6318-492e-a8b8-4897210eab23']",64.47,1713028718.06,1713028782.53
"['initialize-parser', '7d55468f-a918-4041-9e59-8c3ab35e6584']",64.23,1713028718.30,1713028782.53
"['initialize-parser', '17a262bc-d0e2-4dea-a54c-debe8d2b7842']",64.49,1713028718.05,1713028782.53
"['initialize-parser', '3bd3ae46-660a-4b54-98f9-7dfcc8a531f6']",64.57,1713028717.97,1713028782.54
"['initialize-parser', 'aa157cb5-1e52-4cad-a88f-48a7ab356fe4']",64.38,1713028718.16,1713028782.54
"['initialize-parser', '41bbd26d-e6ad-41f8-acd8-28c160a2e777']",64.34,1713028718.20,1713028782.54
"['initialize-parser', '374e1ccd-f246-4dd9-be81-c287741796fa']",64.50,1713028718.04,1713028782.54
"['parser-parse', '347fd42e-4b7b-4325-a8be-588aca5b5e94']",173.70,1713028778.48,1713028952.18
"['write-jsonl', '347fd42e-4b7b-4325-a8be-588aca5b5e94']",0.01,1713028952.18,1713028952.19
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3014.zip']",236.20,1713028715.99,1713028952.19
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3014.zip']",236.52,1713028715.67,1713028952.19
"['initialize-parser', 'ffdd59c0-0a23-468a-8b26-053bcb1d099d']",0.00,1713028953.08,1713028953.08
"['parser-parse', 'c05e9363-1021-46c6-89df-f45b9566d0e1']",174.63,1713028778.49,1713028953.12
"['write-jsonl', 'c05e9363-1021-46c6-89df-f45b9566d0e1']",0.01,1713028953.12,1713028953.13
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-259.zip']",236.82,1713028716.31,1713028953.13
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-259.zip']",237.46,1713028715.67,1713028953.13
"['initialize-parser', '3ec1d7c4-2d66-4fa4-9bb2-a36ed41474e2']",0.00,1713028954.01,1713028954.01
"['parser-parse', '8c73e603-8bba-478f-a456-0110fe05633e']",176.10,1713028778.48,1713028954.58
"['write-jsonl', '8c73e603-8bba-478f-a456-0110fe05633e']",0.01,1713028954.58,1713028954.59
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2856.zip']",238.63,1713028715.96,1713028954.59
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2856.zip']",238.92,1713028715.67,1713028954.59
"['initialize-parser', '13632f38-12d4-4028-8e31-f699817affd8']",0.00,1713028955.49,1713028955.49
"['parser-parse', 'c22744a7-c9bc-4b0c-a041-914a79fe37fa']",176.56,1713028778.54,1713028955.09
"['write-jsonl', 'c22744a7-c9bc-4b0c-a041-914a79fe37fa']",0.01,1713028955.09,1713028955.10
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-623.zip']",239.01,1713028716.09,1713028955.10
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-623.zip']",239.43,1713028715.67,1713028955.10
"['initialize-parser', '4dd34c96-3ea9-4693-b2f3-ad4d8f39024d']",0.00,1713028955.90,1713028955.90
"['parser-parse', 'c1f1b30c-bbbd-4cab-94f1-eed257c2e4e9']",176.90,1713028778.50,1713028955.39
"['write-jsonl', 'c1f1b30c-bbbd-4cab-94f1-eed257c2e4e9']",0.01,1713028955.39,1713028955.40
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2871.zip']",239.46,1713028715.94,1713028955.40
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2871.zip']",239.73,1713028715.67,1713028955.40
"['initialize-parser', 'd918e15f-2065-4d76-8d96-b9051265d12c']",0.00,1713028956.29,1713028956.29
"['parser-parse', 'e6f1a8a9-256e-4c03-b40a-1c47334c526f']",178.34,1713028778.48,1713028956.83
"['write-jsonl', 'e6f1a8a9-256e-4c03-b40a-1c47334c526f']",0.01,1713028956.83,1713028956.83
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1575.zip']",240.92,1713028715.91,1713028956.83
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1575.zip']",241.16,1713028715.67,1713028956.83
"['initialize-parser', '850183ce-cf91-43a8-bcee-9456138ce6dc']",0.00,1713028957.68,1713028957.68
"['parser-parse', '49cfb476-36e3-4a8d-b947-df21c06362d4']",178.52,1713028778.48,1713028957.00
"['write-jsonl', '49cfb476-36e3-4a8d-b947-df21c06362d4']",0.01,1713028957.00,1713028957.01
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3733.zip']",241.06,1713028715.95,1713028957.01
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3733.zip']",241.34,1713028715.67,1713028957.01
"['initialize-parser', '7c68fb67-8b24-4732-b740-2f278d07f7bd']",0.00,1713028957.90,1713028957.90
"['parser-parse', 'aa157cb5-1e52-4cad-a88f-48a7ab356fe4']",175.24,1713028782.54,1713028957.78
"['write-jsonl', 'aa157cb5-1e52-4cad-a88f-48a7ab356fe4']",0.01,1713028957.78,1713028957.79
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1078.zip']",239.63,1713028718.16,1713028957.79
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1078.zip']",240.04,1713028717.75,1713028957.79
"['initialize-parser', 'de31f52b-5b3b-4135-b000-fa9ea7b2bb41']",0.00,1713028958.67,1713028958.67
"['parser-parse', 'dcfe9d48-2fd7-4be1-b232-6622983bcf97']",175.92,1713028782.53,1713028958.45
"['write-jsonl', 'dcfe9d48-2fd7-4be1-b232-6622983bcf97']",0.01,1713028958.45,1713028958.46
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3496.zip']",240.09,1713028718.37,1713028958.46
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3496.zip']",240.71,1713028717.75,1713028958.46
"['initialize-parser', '081b977a-880b-4a2d-b21b-8c0be7af038b']",0.00,1713028959.35,1713028959.35
"['parser-parse', '840500f0-12bb-49f2-b2d9-6a3ed58ee5a0']",181.11,1713028778.48,1713028959.60
"['write-jsonl', '840500f0-12bb-49f2-b2d9-6a3ed58ee5a0']",0.01,1713028959.60,1713028959.60
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3874.zip']",243.64,1713028715.96,1713028959.60
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3874.zip']",243.94,1713028715.67,1713028959.61
"['initialize-parser', '5eee27fb-8a88-49d2-8611-73a333b59791']",0.00,1713028960.45,1713028960.45
"['parser-parse', '3bd3ae46-660a-4b54-98f9-7dfcc8a531f6']",177.29,1713028782.54,1713028959.83
"['write-jsonl', '3bd3ae46-660a-4b54-98f9-7dfcc8a531f6']",0.01,1713028959.83,1713028959.83
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1987.zip']",241.86,1713028717.97,1713028959.83
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1987.zip']",242.09,1713028717.74,1713028959.84
"['initialize-parser', 'a46fdc2a-9f7a-4e7c-9560-276f68b2e2e7']",0.00,1713028960.70,1713028960.70
"['parser-parse', '41bbd26d-e6ad-41f8-acd8-28c160a2e777']",177.40,1713028782.54,1713028959.94
"['write-jsonl', '41bbd26d-e6ad-41f8-acd8-28c160a2e777']",0.01,1713028959.94,1713028959.95
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1522.zip']",241.75,1713028718.20,1713028959.95
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1522.zip']",242.20,1713028717.75,1713028959.95
"['initialize-parser', 'a5d568c7-2c4c-4a60-bfac-b0f195b3a776']",0.00,1713028960.83,1713028960.83
"['parser-parse', '967f05a5-5d74-4415-a65a-29ce4cb1d92e']",184.09,1713028778.50,1713028962.59
"['write-jsonl', '967f05a5-5d74-4415-a65a-29ce4cb1d92e']",0.01,1713028962.59,1713028962.60
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-791.zip']",246.49,1713028716.11,1713028962.60
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-791.zip']",246.93,1713028715.67,1713028962.60
"['initialize-parser', 'b63df823-1b80-4833-bbfb-956dbd17edff']",0.00,1713028963.40,1713028963.40
"['parser-parse', '374e1ccd-f246-4dd9-be81-c287741796fa']",180.86,1713028782.54,1713028963.40
"['write-jsonl', '374e1ccd-f246-4dd9-be81-c287741796fa']",0.01,1713028963.40,1713028963.41
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1114.zip']",245.37,1713028718.04,1713028963.41
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1114.zip']",245.67,1713028717.73,1713028963.41
"['initialize-parser', '3f002c78-f1c7-47df-9116-80f24e7b1697']",0.00,1713028964.30,1713028964.30
"['parser-parse', '577ad9c0-fdaa-478d-8e5c-cbb7aec24a4c']",186.28,1713028778.54,1713028964.82
"['write-jsonl', '577ad9c0-fdaa-478d-8e5c-cbb7aec24a4c']",0.01,1713028964.82,1713028964.83
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3181.zip']",248.86,1713028715.97,1713028964.83
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3181.zip']",249.16,1713028715.67,1713028964.83
"['initialize-parser', '85e3fb95-e088-4948-b23b-7f41f1543d16']",0.00,1713028965.75,1713028965.75
"['parser-parse', 'b5d03c1c-9022-49f0-b689-c6513bf394ed']",186.29,1713028778.54,1713028964.82
"['write-jsonl', 'b5d03c1c-9022-49f0-b689-c6513bf394ed']",0.01,1713028964.82,1713028964.83
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-721.zip']",248.88,1713028715.95,1713028964.83
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-721.zip']",249.16,1713028715.67,1713028964.83
"['initialize-parser', '2c9641b4-5050-4500-bcf7-ccee0df3de9b']",0.00,1713028965.76,1713028965.76
"['parser-parse', 'aa253bbc-3898-4ff2-ab5e-45d90137e16b']",182.55,1713028782.53,1713028965.08
"['write-jsonl', 'aa253bbc-3898-4ff2-ab5e-45d90137e16b']",0.01,1713028965.08,1713028965.08
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-467.zip']",247.08,1713028718.01,1713028965.08
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-467.zip']",247.35,1713028717.73,1713028965.08
"['initialize-parser', '8588b3df-755a-4b76-82cc-dae6cb6a095d']",0.00,1713028965.93,1713028965.93
"['parser-parse', '7d55468f-a918-4041-9e59-8c3ab35e6584']",184.76,1713028782.53,1713028967.29
"['write-jsonl', '7d55468f-a918-4041-9e59-8c3ab35e6584']",0.01,1713028967.29,1713028967.30
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2004.zip']",249.00,1713028718.30,1713028967.30
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2004.zip']",249.55,1713028717.75,1713028967.30
"['initialize-parser', '45783bc3-6330-46df-9bec-81ce9ff7df7b']",0.00,1713028968.04,1713028968.04
"['parser-parse', 'be4e92c2-1e36-4eec-baf7-ee2dd04bf0f3']",185.02,1713028782.53,1713028967.55
"['write-jsonl', 'be4e92c2-1e36-4eec-baf7-ee2dd04bf0f3']",0.01,1713028967.55,1713028967.56
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2056.zip']",249.53,1713028718.03,1713028967.56
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2056.zip']",249.83,1713028717.73,1713028967.56
"['initialize-parser', '7deef1b9-0386-4e8d-9097-9fae0a77057f']",0.00,1713028968.26,1713028968.26
"['parser-parse', '7bb1f865-d94e-41f8-81d5-bd3520f3282d']",185.11,1713028782.53,1713028967.64
"['write-jsonl', '7bb1f865-d94e-41f8-81d5-bd3520f3282d']",0.01,1713028967.64,1713028967.65
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2829.zip']",249.67,1713028717.98,1713028967.65
