tags,elapsed_s,start_unix,end_unix
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",16.56,1713084702.49,1713084719.06
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",0.17,1713084719.38,1713084719.55
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",16.76,1713084702.49,1713084719.25
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",0.19,1713084719.55,1713084719.73
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/325287f6-2abb-45d3-ae91-5de988365c3f.jsonl']",16.75,1713084702.50,1713084719.26
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/325287f6-2abb-45d3-ae91-5de988365c3f.jsonl']",0.19,1713084719.55,1713084719.73
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/c2a33075-b4d7-4dbe-8598-1d845a58f527.jsonl']",16.85,1713084702.50,1713084719.35
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/c2a33075-b4d7-4dbe-8598-1d845a58f527.jsonl']",0.20,1713084719.56,1713084719.76
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/70c5be30-3bb9-44d5-bf0f-12fe9ec71865.jsonl']",55.87,1713084709.13,1713084765.00
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/70c5be30-3bb9-44d5-bf0f-12fe9ec71865.jsonl']",0.16,1713084765.37,1713084765.53
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/cd5bce10-3f43-41e9-ad89-cd8a76697c91.jsonl']",56.07,1713084709.13,1713084765.20
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/cd5bce10-3f43-41e9-ad89-cd8a76697c91.jsonl']",0.19,1713084765.50,1713084765.69
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/10d7ec1d-770d-42a2-b9c1-78c69332315d.jsonl']",56.20,1713084709.13,1713084765.33
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/10d7ec1d-770d-42a2-b9c1-78c69332315d.jsonl']",0.20,1713084765.61,1713084765.81
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/99ea0667-c6f4-43c1-84d7-dfeb717c75bc.jsonl']",56.20,1713084709.13,1713084765.32
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/99ea0667-c6f4-43c1-84d7-dfeb717c75bc.jsonl']",0.20,1713084765.61,1713084765.81
"['computed-embeddings', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",199.75,1713084719.73,1713084919.48
"['computed-embeddings', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",200.44,1713084719.55,1713084919.99
"['wrote-embeddings', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",1.22,1713084919.48,1713084920.70
"['finished-embedding', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",218.21,1713084702.49,1713084920.70
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/71fbfa1b-86b8-4fe5-bb79-815ada5891dd.jsonl']",0.00,1713084920.71,1713084920.71
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/71fbfa1b-86b8-4fe5-bb79-815ada5891dd.jsonl']",0.19,1713084920.71,1713084920.90
"['wrote-embeddings', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",0.71,1713084919.99,1713084920.71
"['finished-embedding', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",218.21,1713084702.49,1713084920.71
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/3be707ef-ea65-4370-9c82-a5824ccdd852.jsonl']",0.00,1713084920.71,1713084920.71
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/3be707ef-ea65-4370-9c82-a5824ccdd852.jsonl']",0.19,1713084920.71,1713084920.90
