tags,elapsed_s,start_unix,end_unix
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/176122dd-a0ac-4921-9e86-d99b73d2ec1e.jsonl']",18.39,1713148882.96,1713148901.35
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/176122dd-a0ac-4921-9e86-d99b73d2ec1e.jsonl']",0.10,1713148901.92,1713148902.01
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d53b839c-bfe3-40ff-807a-e92c60837456.jsonl']",19.11,1713148882.98,1713148902.08
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d53b839c-bfe3-40ff-807a-e92c60837456.jsonl']",0.11,1713148902.61,1713148902.72
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/0bccb401-3875-4636-b2c6-95d99b86a02b.jsonl']",27.58,1713148883.04,1713148910.62
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/0bccb401-3875-4636-b2c6-95d99b86a02b.jsonl']",0.14,1713148911.19,1713148911.33
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/58f2f498-ba08-4542-842a-187b80cd9584.jsonl']",34.51,1713148883.09,1713148917.60
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/58f2f498-ba08-4542-842a-187b80cd9584.jsonl']",0.14,1713148918.17,1713148918.30
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/a1fc1809-9877-4bed-8801-d2b6a4ff9233.jsonl']",43.48,1713148883.08,1713148926.57
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/a1fc1809-9877-4bed-8801-d2b6a4ff9233.jsonl']",0.10,1713148927.07,1713148927.17
